fiscal_year,Month,"EV Sales"
2022,January,31672
2022,February,38171
2022,March,58118
2022,April,6315
2022,May,1499
2022,June,5487
2022,July,15794
2022,August,17153
2022,September,19351
2022,October,22190
2022,November,26159
2022,December,29241
2023,January,68116
2023,February,70827
2023,March,95126
2023,April,55524
2023,May,45373
2023,June,47591
2023,July,50010
2023,August,55584
2023,September,56828
2023,October,81162
2023,November,80752
2023,December,68475
2024,January,89311
2024,February,89051
2024,March,138343
2024,April,72818
2024,May,112997
2024,June,53631
2024,July,61622
2024,August,69224
2024,September,69793
2024,October,81833
2024,November,98285
2024,December,82685
